plant,genotype
Q22,IL_10.2
M5,IL_5.5
T33,IL_2.6.5
A34,IL_2.6.5
F32,IL_11.1
F2,IL_8.2.1
P11,IL_10.2
N18,IL_9.2.5
G19,IL_9.3.1
J39,IL_9.3.2
H4,IL_5.1
L32,IL_1.3
N30,IL_12.1
A4,IL_5.5
J38,IL_11.2
S15,IL_2.5
T8,IL_9.3.1
N2,IL_7.3
C20,IL_4.1.1
R38,IL_1.1.2
K27,IL_11.2
E20,IL_5.5
G16,IL_11.4.1
C14,IL_8.3
E11,IL_12.1.1
S23,IL_10.2
K17,IL_11.3
K34,IL_10.2
N15,IL_12.4
S12,IL_11.2
B6,IL_3.1
J23,IL_8.1.5
Q36,IL_10.3
Q2,IL_5.1
N17,IL_10.3
F29,IL_11.2
C2,IL_6.4
C3,IL_3.2
